City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Cockburn Town,TC,21.4612,-71.1419,84.2,65,1,12.66,clear sky
186,Hanyang,CN,32.1371,105.5126,54.01,87,100,0.94,overcast clouds
187,Poso,ID,-1.3959,120.7524,78.01,77,100,5.03,overcast clouds
188,Yeppoon,AU,-23.1333,150.7333,64.4,82,30,5.75,scattered clouds
189,Buraydah,SA,26.326,43.975,80.6,26,0,4.79,clear sky
190,Mikuni,JP,36.2171,136.1519,44.6,81,40,4.61,scattered clouds
191,Kidal,ML,18.4411,1.4078,93.0,10,16,11.25,few clouds
192,Brae,GB,60.3964,-1.353,44.6,87,100,11.5,overcast clouds
193,Sorkjosen,NO,69.8,20.9333,41.0,52,0,6.91,clear sky
194,Tasiilaq,GL,65.6145,-37.6368,24.8,54,0,4.61,clear sky
195,Leh,IN,34.1667,77.5833,31.21,66,99,5.3,light snow
196,Baton Rouge,US,30.4508,-91.1545,69.8,52,20,5.75,few clouds
197,Luderitz,NA,-26.6481,15.1594,75.4,47,21,6.08,few clouds
198,Comodoro Rivadavia,AR,-45.8667,-67.5,78.8,21,0,25.32,clear sky
199,Poum,NC,-20.2333,164.0167,77.72,79,95,9.42,overcast clouds
200,Kutum,SD,14.2,24.6667,77.58,7,0,6.2,clear sky
201,Onega,RU,63.9061,38.1404,31.23,70,6,5.01,clear sky
202,La Ronge,CA,55.1001,-105.2842,32.0,37,62,11.5,broken clouds
203,Almaznyy,RU,48.0448,40.045,51.8,71,20,4.47,few clouds
204,Ganzhou,CN,28.8184,115.4327,58.77,74,98,1.52,overcast clouds
205,Huilong,CN,31.8111,121.655,55.99,65,55,8.08,broken clouds
206,Kailua,US,21.4022,-157.7394,78.8,64,20,8.05,few clouds
207,Turukhansk,RU,65.8167,87.9833,11.08,82,100,12.64,overcast clouds
208,Nelson Bay,AU,-32.7167,152.15,53.01,100,75,8.05,broken clouds
209,Kalengwa,ZM,-13.4659,25.0027,63.79,72,89,4.27,overcast clouds
210,Puerto Ayacucho,VE,5.6639,-67.6236,91.2,49,100,2.95,overcast clouds
211,Matara,LK,5.9485,80.5353,77.7,86,24,5.66,few clouds
212,Dhone,IN,15.4167,77.8833,86.11,42,100,11.36,overcast clouds
213,Pangai,TO,-19.8,-174.35,78.8,69,20,3.44,few clouds
214,Longyearbyen,SJ,78.2186,15.6401,30.2,80,75,8.05,broken clouds
215,Henties Bay,NA,-22.116,14.2845,81.59,41,3,12.15,clear sky
216,Mahebourg,MU,-20.4081,57.7,77.0,94,75,12.66,moderate rain
217,Niamey,NE,13.5137,2.1098,102.2,15,53,2.3,broken clouds
218,Torbay,CA,47.6666,-52.7314,39.0,100,90,17.27,light rain
219,Dudinka,RU,69.4058,86.1778,-11.56,98,39,8.86,scattered clouds
220,Alta Floresta,BR,-9.8756,-56.0861,73.4,100,75,4.61,moderate rain
221,Nara,JP,34.6851,135.8049,44.01,77,3,4.03,clear sky
222,Belmonte,BR,-15.8631,-38.8828,80.6,74,40,11.5,scattered clouds
223,Sitka,US,57.0531,-135.33,60.8,36,1,3.44,clear sky
224,Singkang,MY,2.1006,102.7994,75.2,100,20,1.92,few clouds
225,Ballina,AU,-28.8667,153.5667,57.2,82,39,8.05,scattered clouds
226,Svetlaya,RU,46.5389,138.3297,41.68,79,100,6.67,overcast clouds
227,Menomonie,US,44.8755,-91.9193,60.01,28,1,11.5,clear sky
228,Natal,BR,-5.795,-35.2094,80.6,83,75,14.97,broken clouds
229,Abu Dhabi,AE,24.4667,54.3667,80.6,57,0,2.3,clear sky
230,Hobart,AU,-42.8794,147.3294,55.4,62,100,8.05,overcast clouds
231,Morant Bay,JM,17.8815,-76.4093,91.0,66,20,25.32,few clouds
232,Port Hedland,AU,-20.3167,118.5667,69.8,78,1,5.75,clear sky
233,Faya,SA,18.3851,42.4509,68.0,59,20,12.3,few clouds
234,Mount Gambier,AU,-37.8333,140.7667,53.6,94,90,9.22,fog
235,Khomutovo,RU,52.4658,104.4025,24.8,63,0,4.47,clear sky
236,Pinega,RU,64.7001,43.3936,29.28,60,20,3.4,few clouds
237,Mancio Lima,BR,-7.6142,-72.8958,93.2,59,75,8.05,broken clouds
238,Chokwe,MZ,-24.5333,32.9833,64.18,73,24,5.75,few clouds
239,Moron,AR,-34.6534,-58.6198,73.0,74,85,3.0,overcast clouds
240,Barrow,US,71.2906,-156.7887,19.4,86,1,8.05,clear sky
