City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Kralendijk,BQ,84.2,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
367,San Policarpo,PH,75.65,heavy intensity rain,12.1791,125.5072,JM Lodge
368,Mayumba,GA,78.84,overcast clouds,-3.432,10.6554,LIKWALE LODGE
371,Marsh Harbour,BS,80.2,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
372,Ketou,BJ,81.37,overcast clouds,7.3633,2.5998,Residences Celine Hotel Ketou
375,Honiara,SB,78.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
376,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
377,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
378,Kalavai,IN,81.07,overcast clouds,12.7703,79.42,Kalavai Gateway
382,Brandon,US,86.0,clear sky,27.9378,-82.2859,Brandon Motor Lodge
383,Mersing,MY,75.2,few clouds,2.4312,103.8405,Timotel Hotel
385,Pundaguitan,PH,82.11,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
386,Iracoubo,GF,79.72,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
387,Jacareacanga,BR,76.68,light rain,-6.2222,-57.7528,Casa do Ian😎
389,Makakilo City,US,79.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
390,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
394,Ikom,NG,77.13,overcast clouds,5.9667,8.7063,Reho Farm & Resort
395,Bullhead City,US,78.01,clear sky,35.1478,-114.5683,Harrah's Laughlin
396,Elesbao Veloso,BR,80.22,heavy intensity rain,-6.2019,-42.1403,Pousada Paraiso
397,Sonoita,MX,78.01,clear sky,31.85,-112.8333,Hotel Nora
399,Portland,US,78.01,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
405,Simoes,BR,83.59,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
409,Wamba,NG,84.49,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
410,Padang,ID,76.17,scattered clouds,-0.9492,100.3543,Mercure Padang
413,Cape Coast,GH,79.25,heavy intensity rain,5.1053,-1.2466,Samrit Hotel
415,Koumac,NC,75.78,overcast clouds,-20.5667,164.2833,Le Monitel
417,Riyadh,SA,89.6,clear sky,24.6877,46.7219,InterContinental Riyadh
421,Maragogi,BR,77.31,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
428,Juba,SS,76.78,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
434,Ukiah,US,82.99,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
438,Sabha,LY,82.62,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
439,Grand Gaube,MU,75.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
443,Jalu,LY,83.48,overcast clouds,29.0331,21.5482,صاحبة الفخامة
445,Quatre Cocos,MU,77.0,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
446,Thomaston,US,75.99,scattered clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
447,Alofi,NU,77.0,scattered clouds,-19.0595,-169.9187,Taloa Heights
453,Santiago Del Estero,AR,84.15,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
454,Santa Rita,BR,75.2,broken clouds,-7.1139,-34.9781,Infinity Motel
457,Trairi,BR,79.03,broken clouds,-3.2778,-39.2689,janelas do mar
458,Grand Baie,MU,75.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
466,Half Moon Bay,US,79.0,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
467,Lalmohan,BD,79.68,clear sky,22.3384,90.7419,Sundorbon courier service
470,Puerto Colombia,CO,77.0,broken clouds,10.9878,-74.9547,Hotel El Emigrante
472,Barao De Melgaco,BR,87.8,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
477,Pochutla,MX,89.01,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
478,Mapiripan,CO,82.17,overcast clouds,2.8892,-72.1256,Monserrate
479,Acarau,BR,80.64,moderate rain,-2.8856,-40.12,castelo pizzaria
481,Venado Tuerto,AR,84.0,clear sky,-33.7456,-61.9688,Hotel - Miro Park
482,Lasem,ID,76.33,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
483,Catio,GW,78.73,overcast clouds,11.2833,-15.25,Pausada Morabedja
485,Ca Mau,VN,78.4,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
487,Itanhaem,BR,78.01,overcast clouds,-24.1831,-46.7889,Prainha Residência Artística
488,Butterworth,MY,82.0,few clouds,5.3991,100.3638,Cititel Penang
497,Umm Lajj,SA,80.8,clear sky,25.0213,37.2685,Moon light Furnished Units
498,Kotido,UG,76.35,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
